fly_time:4.5514, notolsr:0, recvcountgt:1475, recvcount:7877, z-index:0.3667
fly_time:4.5712, notolsr:0, recvcountgt:1475, recvcount:7877, z-index:0.3696
fly_time:4.5932, notolsr:0, recvcountgt:1475, recvcount:7877, z-index:0.3748
fly_time:4.6115, notolsr:0, recvcountgt:1475, recvcount:7877, z-index:0.3789
fly_time:4.6317, notolsr:0, recvcountgt:1476, recvcount:7879, z-index:0.3838
fly_time:4.6512, notolsr:0, recvcountgt:1476, recvcount:7879, z-index:0.3886
fly_time:4.672, notolsr:0, recvcountgt:1477, recvcount:7880, z-index:0.3931
fly_time:4.6911, notolsr:0, recvcountgt:1477, recvcount:7880, z-index:0.398
fly_time:4.7119, notolsr:0, recvcountgt:1477, recvcount:7880, z-index:0.4032
fly_time:4.7319, notolsr:0, recvcountgt:1478, recvcount:7881, z-index:0.4083
fly_time:4.7515, notolsr:0, recvcountgt:1478, recvcount:7881, z-index:0.4126
fly_time:4.7729, notolsr:0, recvcountgt:1479, recvcount:7882, z-index:0.4178
fly_time:4.7917, notolsr:0, recvcountgt:1479, recvcount:7882, z-index:0.4226
fly_time:4.8115, notolsr:0, recvcountgt:1479, recvcount:7882, z-index:0.4279
fly_time:4.8326, notolsr:0, recvcountgt:1479, recvcount:7882, z-index:0.4331
fly_time:4.8511, notolsr:0, recvcountgt:1479, recvcount:7882, z-index:0.4384
fly_time:4.8729, notolsr:0, recvcountgt:1480, recvcount:7884, z-index:0.4436
fly_time:4.8928, notolsr:0, recvcountgt:1480, recvcount:7884, z-index:0.4491
fly_time:4.9122, notolsr:0, recvcountgt:1480, recvcount:7884, z-index:0.4542
fly_time:4.9328, notolsr:0, recvcountgt:1481, recvcount:7885, z-index:0.4593
fly_time:4.9515, notolsr:0, recvcountgt:1481, recvcount:7885, z-index:0.4641
fly_time:4.9721, notolsr:0, recvcountgt:1482, recvcount:7886, z-index:0.4669
fly_time:4.9928, notolsr:0, recvcountgt:1482, recvcount:7886, z-index:0.4712
fly_time:5.0114, notolsr:0, recvcountgt:1482, recvcount:7886, z-index:0.4744
fly_time:5.0325, notolsr:0, recvcountgt:1483, recvcount:7887, z-index:0.4782
